10	1.0496626601214205e-25
20	5.230290272821105e-24
30	5.517615361072294e-23
40	3.006070828170818e-22
50	1.1330546994640813e-21
60	3.3750770305864853e-21
70	8.537161860536416e-21
80	1.914847697841985e-20
90	3.9169118248520736e-20
100	7.449208892247829e-20
110	1.3354386231118171e-19
120	2.279930367049285e-19
130	3.7357728821165223e-19
140	5.910595659920546e-19
150	9.07325257304051e-19
160	1.3566328790054878e-18
170	1.9820317299656488e-18
180	2.8369608675500346e-18
190	3.987044753404094e-18
200	5.51210195169371e-18
210	7.508384359378208e-18
220	1.009106560570224e-17
230	1.3396998479697818e-17
240	1.758776253298411e-17
250	2.285302436353362e-17
260	2.941423451743352e-17
270	3.7528686453200406e-17
280	4.7493964600201174e-17
290	5.965281021258663e-17
300	7.439843547635412e-17
310	9.218031817332933e-17
320	1.135105111456915e-16
330	1.3897050284198309e-16
340	1.6921866736425078e-16
350	2.0499834468008927e-16
360	2.4714659401702e-16
370	2.9660366592407256e-16
380	3.544232410709819e-16
390	4.21783486563495e-16
400	4.999989833884671e-16
410	5.905335815693231e-16
420	6.950142427158302e-16
430	8.152459328968412e-16
440	9.53227632155568e-16
450	1.1111695305291617e-15
460	1.2915114841330189e-15
470	1.4969428087303577e-15
480	1.7304234922347867e-15
490	1.9952069117928904e-15
500	2.2948641454709385e-15
510	2.633162185964102e-15
520	3.0137164859808935e-15
530	3.4402533676974547e-15
540	3.9166792347814994e-15
550	4.447080533309386e-15
560	5.035723710881721e-15
570	5.687055173937841e-15
580	6.405701243269543e-15
590	7.196468107734567e-15
600	8.064341776170123e-15
610	9.014488027507093e-15
620	1.0052252359085163e-14
630	1.1183159933169597e-14
640	1.2412915521669884e-14
650	1.3747403449061107e-14
660	1.5192687533508206e-14
670	1.6755011026193992e-14
680	1.8440796548851237e-14
690	2.025664602949968e-14
700	2.220934063638825e-14
710	2.4305840710143354e-14
720	2.65532856941238e-14
730	2.895899406298292e-14
740	3.1530463249438693e-14
750	3.42753695692525e-14
760	3.720156814441715e-14
770	4.031709282455491e-14
780	4.3630156106526404e-14
790	4.7149149052251024e-14
800	5.08826412047396e-14
810	5.4839380502339866e-14
820	5.902829319119665e-14
830	6.345848373592557e-14
840	6.813923472850316e-14
850	7.3080006795373e-14
860	7.829043850276934e-14
870	8.378034626025834e-14
880	8.955972422249881e-14
890	9.563874418922293e-14
900	1.0202775550343726e-13
910	1.0873728494784638e-13
920	1.1577803663949878e-13
930	1.2316089192265649e-13
940	1.3089690925988973e-13
950	1.3899732412139758e-13
960	1.4747354887255495e-13
970	1.5633717265968744e-13
980	1.6559996129407563e-13
990	1.7527385713418938e-13
1000	1.853709789661523e-13
